Time [s],Channel,Value
-0.012496175,2,31759
-0.012494025,1,30551
-0.012491875,2,31828
-0.012489700,1,30551
-0.012487550,2,31828
-0.012485375,1,30551
-0.012483225,2,31828
-0.012481050,1,30551
-0.012478900,2,31828
-0.012476750,1,30551
-0.012474575,2,31828
-0.012472425,1,31318
-0.012470250,2,31847
-0.012468100,1,31318
-0.012465950,2,31847
-0.012463775,1,31318
-0.012461625,2,31847
-0.012459450,1,31318
-0.012457300,2,31847
-0.012455125,1,31577
-0.012452975,2,32206
-0.012450825,1,31577
-0.012448650,2,32206
-0.012446500,1,31577
-0.012444325,2,32206
-0.012442175,1,31577
-0.012440025,2,32206
-0.012437850,1,31577
-0.012435700,2,32206
-0.012433525,1,32022
-0.012431375,2,32565
-0.012429200,1,32022
-0.012427050,2,32565
-0.012424900,1,32022
-0.012422725,2,32565
-0.012420575,1,32022
-0.012418400,2,32565
-0.012416250,1,32022
-0.012414075,2,32565
-0.012411925,1,32343
-0.012409775,2,33050
-0.012407600,1,32343
-0.012405450,2,33050
-0.012403275,1,32343
-0.012401125,2,33050
-0.012398975,1,32343
-0.012396800,2,33050
-0.012394650,1,32343
-0.012392475,2,33050
-0.012390325,1,32240
-0.012388150,2,33373
-0.012386000,1,32240
-0.012383850,2,33373
-0.012381675,1,32240
-0.012379525,2,33373
-0.012377350,1,32240
-0.012375200,2,33373
-0.012373025,1,32694
-0.012370875,2,33763
-0.012368725,1,32694
-0.012366550,2,33763
-0.012364400,1,32694
-0.012362225,2,33763
-0.012360075,1,32694
-0.012357925,2,33763
-0.012355750,1,32694
-0.012353600,2,33763
-0.012351425,1,32873
-0.012349275,2,33951
-0.012347100,1,32873
-0.012344950,2,33951
-0.012342800,1,32873
-0.012340625,2,33951
-0.012338475,1,32873
-0.012336300,2,33951
-0.012334150,1,32873
-0.012332000,2,33951
-0.012329825,1,33484
-0.012327675,2,34403
-0.012325500,1,33484
-0.012323350,2,34403
-0.012321175,1,33484
-0.012319025,2,34403
-0.012316875,1,33484
-0.012314700,2,34403
-0.012312550,1,33484
-0.012310375,2,34403
-0.012308225,1,33905
-0.012306050,2,34602
-0.012303900,1,33905
-0.012301750,2,34602
-0.012299575,1,33905
-0.012297425,2,34602
-0.012295250,1,33905
-0.012293100,2,34602
-0.012290950,1,34079
-0.012288775,2,34636
-0.012286625,1,34079
-0.012284450,2,34636
-0.012282300,1,34079
-0.012280125,2,34636
-0.012277975,1,34079
-0.012275825,2,34636
-0.012273650,1,34079
-0.012271500,2,34636
-0.012269325,1,34676
-0.012267175,2,34932
-0.012265000,1,34676
-0.012262850,2,34932
-0.012260700,1,34676
-0.012258525,2,34932
-0.012256375,1,34676
-0.012254200,2,34932
-0.012252050,1,34676
-0.012249900,2,34932
-0.012247725,1,34934
-0.012245575,2,35358
-0.012243400,1,34934
-0.012241250,2,35358
-0.012239075,1,34934
-0.012236925,2,35358
-0.012234775,1,34934
-0.012232600,2,35358
-0.012230450,1,34934
-0.012228275,2,35358
-0.012226125,1,34939
-0.012223975,2,35772
-0.012221800,1,34939
-0.012219650,2,35772
-0.012217475,1,34939
-0.012215325,2,35772
-0.012213150,1,34939
-0.012211000,2,35772
-0.012208850,1,35284
-0.012206675,2,35614
-0.012204525,1,35284
-0.012202350,2,35614
-0.012200200,1,35284
-0.012198025,2,35614
-0.012195875,1,35284
-0.012193725,2,35614
-0.012191550,1,35284
-0.012189400,2,35614
-0.012187225,1,35625
-0.012185075,2,36036
-0.012182925,1,35625
-0.012180750,2,36036
-0.012178600,1,35625
-0.012176425,2,36036
-0.012174275,1,35625
-0.012172100,2,36036
-0.012169950,1,35625
-0.012167800,2,36036
-0.012165625,1,36068
-0.012163475,2,36251
-0.012161300,1,36068
-0.012159150,2,36251
-0.012156975,1,36068
-0.012154825,2,36251
-0.012152675,1,36068
-0.012150500,2,36251
-0.012148350,1,36104
-0.012146175,2,36473
-0.012144025,1,36104
-0.012141875,2,36473
-0.012139700,1,36104
-0.012137550,2,36473
-0.012135375,1,36104
-0.012133225,2,36473
-0.012131050,1,36104
-0.012128900,2,36473
-0.012126750,1,36347
-0.012124575,2,36853
-0.012122425,1,36347
-0.012120250,2,36853
-0.012118100,1,36347
-0.012115925,2,36853
-0.012113775,1,36347
-0.012111625,2,36853
-0.012109450,1,36347
-0.012107300,2,36853
-0.012105125,1,36414
-0.012102975,2,36798
-0.012100825,1,36414
-0.012098650,2,36798
-0.012096500,1,36414
-0.012094325,2,36798
-0.012092175,1,36414
-0.012090000,2,36798
-0.012087850,1,36414
-0.012085700,2,36798
-0.012083525,1,36856
-0.012081375,2,36968
-0.012079200,1,36856
-0.012077050,2,36968
-0.012074875,1,36856
-0.012072725,2,36968
-0.012070575,1,36856
-0.012068400,2,36968
-0.012066250,1,37002
-0.012064075,2,37428
-0.012061925,1,37002
-0.012059775,2,37428
-0.012057600,1,37002
-0.012055450,2,37428
-0.012053275,1,37002
-0.012051125,2,37428
-0.012048950,1,37002
-0.012046800,2,37428
-0.012044650,1,37184
-0.012042475,2,37330
-0.012040325,1,37184
-0.012038150,2,37330
-0.012036000,1,37184
-0.012033850,2,37330
-0.012031675,1,37184
-0.012029525,2,37330
-0.012027350,1,37184
-0.012025200,2,37330
-0.012023025,1,36829
-0.012020875,2,38070
-0.012018725,1,36829
-0.012016550,2,38070
-0.012014400,1,36829
-0.012012225,2,38070
-0.012010075,1,36829
-0.012007900,2,38070
-0.012005750,1,36829
-0.012003600,2,38070
-0.012001425,1,37159
-0.011999275,2,37868
-0.011997100,1,37159
-0.011994950,2,37868
-0.011992800,1,37159
-0.011990625,2,37868
-0.011988475,1,37159
-0.011986300,2,37868
-0.011984150,1,37822
-0.011981975,2,38152
-0.011979825,1,37822
-0.011977675,2,38152
-0.011975500,1,37822
-0.011973350,2,38152
-0.011971175,1,37822
-0.011969025,2,38152
-0.011966850,1,37822
-0.011964700,2,38152
-0.011962550,1,38277
-0.011960375,2,38582
-0.011958225,1,38277
-0.011956050,2,38582
-0.011953900,1,38277
-0.011951750,2,38582
-0.011949575,1,38277
-0.011947425,2,38582
-0.011945250,1,38277
-0.011943100,2,38582
-0.011940925,1,38085
-0.011938775,2,39134
-0.011936625,1,38085
-0.011934450,2,39134
-0.011932300,1,38085
-0.011930125,2,39134
-0.011927975,1,38085
-0.011925825,2,39134
-0.011923650,1,38085
-0.011921500,2,39134
-0.011919325,1,38681
-0.011917175,2,38756
-0.011915000,1,38681
-0.011912850,2,38756
-0.011910700,1,38681
-0.011908525,2,38756
-0.011906375,1,38681
-0.011904200,2,38756
-0.011902050,1,38535
-0.011899875,2,38683
-0.011897725,1,38535
-0.011895575,2,38683
-0.011893400,1,38535
-0.011891250,2,38683
-0.011889075,1,38535
-0.011886925,2,38683
-0.011884775,1,38535
-0.011882600,2,38683
-0.011880450,1,38434
-0.011878275,2,39000
-0.011876125,1,38434
-0.011873950,2,39000
-0.011871800,1,38434
-0.011869650,2,39000
-0.011867475,1,38434
-0.011865325,2,39000
-0.011863150,1,38434
-0.011861000,2,39000
-0.011858825,1,38863
-0.011856675,2,39210
-0.011854525,1,38863
-0.011852350,2,39210
-0.011850200,1,38863
-0.011848025,2,39210
-0.011845875,1,38863
-0.011843725,2,39210
-0.011841550,1,38863
-0.011839400,2,39210
-0.011837225,1,39103
-0.011835075,2,39125
-0.011832900,1,39103
-0.011830750,2,39125
-0.011828600,1,39103
-0.011826425,2,39125
-0.011824275,1,39103
-0.011822100,2,39125
-0.011819950,1,39426
-0.011817775,2,39223
-0.011815625,1,39426
-0.011813475,2,39223
-0.011811300,1,39426
-0.011809150,2,39223
-0.011806975,1,39426
-0.011804825,2,39223
-0.011802675,1,39426
-0.011800500,2,39223
-0.011798350,1,39669
-0.011796175,2,39845
-0.011794025,1,39669
-0.011791850,2,39845
-0.011789700,1,39669
-0.011787550,2,39845
-0.011785375,1,39669
-0.011783225,2,39845
-0.011781050,1,39669
-0.011778900,2,39845
-0.011776725,1,39446
-0.011774575,2,39655
-0.011772425,1,39446
-0.011770250,2,39655
-0.011768100,1,39446
-0.011765925,2,39655
-0.011763775,1,39446
-0.011761625,2,39655
-0.011759450,1,39446
-0.011757300,2,39655
-0.011755125,1,40228
-0.011752975,2,40123
-0.011750800,1,40228
-0.011748650,2,40123
-0.011746500,1,40228
-0.011744325,2,40123
-0.011742175,1,40228
-0.011740000,2,40123
-0.011737850,1,40068
-0.011735700,2,39939
-0.011733525,1,40068
-0.011731375,2,39939
-0.011729200,1,40068
-0.011727050,2,39939
-0.011724875,1,40068
-0.011722725,2,39939
-0.011720575,1,40068
-0.011718400,2,39939
-0.011716250,1,40146
-0.011714075,2,40191
-0.011711925,1,40146
-0.011709750,2,40191
-0.011707600,1,40146
-0.011705450,2,40191
-0.011703275,1,40146
-0.011701125,2,40191
-0.011698950,1,40146
-0.011696800,2,40191
-0.011694650,1,39961
-0.011692475,2,40310
-0.011690325,1,39961
-0.011688150,2,40310
-0.011686000,1,39961
-0.011683825,2,40310
-0.011681675,1,39961
-0.011679525,2,40310
-0.011677350,1,39961
-0.011675200,2,40310
-0.011673025,1,40356
-0.011670875,2,40584
-0.011668700,1,40356
-0.011666550,2,40584
-0.011664400,1,40356
-0.011662225,2,40584
-0.011660075,1,40356
-0.011657900,2,40584
-0.011655750,1,40298
-0.011653600,2,40450
-0.011651425,1,40298
-0.011649275,2,40450
-0.011647100,1,40298
-0.011644950,2,40450
-0.011642775,1,40298
-0.011640625,2,40450
-0.011638475,1,40298
-0.011636300,2,40450
-0.011634150,1,40656
-0.011631975,2,40471
-0.011629825,1,40656
-0.011627675,2,40471
-0.011625500,1,40656
-0.011623350,2,40471
-0.011621175,1,40656
-0.011619025,2,40471
-0.011616850,1,40656
-0.011614700,2,40471
-0.011612550,1,40500
-0.011610375,2,40564
-0.011608225,1,40500
-0.011606050,2,40564
-0.011603900,1,40500
-0.011601725,2,40564
-0.011599575,1,40500
-0.011597425,2,40564
-0.011595250,1,40406
-0.011593100,2,40398
-0.011590925,1,40406
-0.011588775,2,40398
-0.011586625,1,40406
-0.011584450,2,40398
-0.011582300,1,40406
-0.011580125,2,40398
-0.011577975,1,40406
-0.011575800,2,40398
-0.011573650,1,40341
-0.011571500,2,40617
-0.011569325,1,40341
-0.011567175,2,40617
-0.011565000,1,40341
-0.011562850,2,40617
-0.011560675,1,40341
-0.011558525,2,40617
-0.011556375,1,40341
-0.011554200,2,40617
-0.011552050,1,40555
-0.011549875,2,40597
-0.011547725,1,40555
-0.011545575,2,40597
-0.011543400,1,40555
-0.011541250,2,40597
-0.011539075,1,40555
-0.011536925,2,40597
-0.011534750,1,40555
-0.011532600,2,40597
-0.011530450,1,40874
-0.011528275,2,41065
-0.011526125,1,40874
-0.011523950,2,41065
-0.011521800,1,40874
-0.011519625,2,41065
-0.011517475,1,40874
-0.011515325,2,41065
-0.011513150,1,41007
-0.011511000,2,40896
-0.011508825,1,41007
-0.011506675,2,40896
-0.011504525,1,41007
-0.011502350,2,40896
-0.011500200,1,41007
-0.011498025,2,40896
-0.011495875,1,41007
-0.011493700,2,40896
-0.011491550,1,41079
-0.011489400,2,40832
-0.011487225,1,41079
-0.011485075,2,40832
-0.011482900,1,41079
-0.011480750,2,40832
-0.011478600,1,41079
-0.011476425,2,40832
-0.011474275,1,41079
-0.011472100,2,40832
-0.011469950,1,40706
-0.011467775,2,40792
-0.011465625,1,40706
-0.011463475,2,40792
-0.011461300,1,40706
-0.011459150,2,40792
-0.011456975,1,40706
-0.011454825,2,40792
-0.011452650,1,40706
-0.011450500,2,40792
-0.011448350,1,40568
-0.011446175,2,40869
-0.011444025,1,40568
-0.011441850,2,40869
-0.011439700,1,40568
-0.011437550,2,40869
-0.011435375,1,40568
-0.011433225,2,40869
-0.011431050,1,40663
-0.011428900,2,40877
-0.011426725,1,40663
-0.011424575,2,40877
-0.011422425,1,40663
-0.011420250,2,40877
-0.011418100,1,40663
-0.011415925,2,40877
-0.011413775,1,40663
-0.011411600,2,40877
-0.011409450,1,41215
-0.011407300,2,40549
-0.011405125,1,41215
-0.011402975,2,40549
-0.011400800,1,41215
-0.011398650,2,40549
-0.011396500,1,41215
-0.011394325,2,40549
-0.011392175,1,41215
-0.011390000,2,40549
-0.011387850,1,40982
-0.011385675,2,40585
-0.011383525,1,40982
-0.011381375,2,40585
-0.011379200,1,40982
-0.011377050,2,40585
-0.011374875,1,40982
-0.011372725,2,40585
-0.011370550,1,40982
-0.011368400,2,40585
-0.011366250,1,41104
-0.011364075,2,40936
-0.011361925,1,41104
-0.011359750,2,40936
-0.011357600,1,41104
-0.011355450,2,40936
-0.011353275,1,41104
-0.011351125,2,40936
-0.011348950,1,41035
-0.011346800,2,40574
-0.011344625,1,41035
-0.011342475,2,40574
-0.011340325,1,41035
-0.011338150,2,40574
-0.011336000,1,41035
-0.011333825,2,40574
-0.011331675,1,41035
-0.011329525,2,40574
-0.011327350,1,41232
-0.011325200,2,40700
-0.011323025,1,41232
-0.011320875,2,40700
-0.011318700,1,41232
-0.011316550,2,40700
-0.011314400,1,41232
-0.011312225,2,40700
-0.011310075,1,41232
-0.011307900,2,40700
-0.011305750,1,41266
-0.011303575,2,40368
-0.011301425,1,41266
-0.011299275,2,40368
-0.011297100,1,41266
-0.011294950,2,40368
-0.011292775,1,41266
-0.011290625,2,40368
-0.011288475,1,41266
-0.011286300,2,40368
-0.011284150,1,40894
-0.011281975,2,40802
-0.011279825,1,40894
-0.011277650,2,40802
-0.011275500,1,40894
-0.011273350,2,40802
-0.011271175,1,40894
-0.011269025,2,40802
-0.011266850,1,40920
-0.011264700,2,40518
-0.011262525,1,40920
-0.011260375,2,40518
-0.011258225,1,40920
-0.011256050,2,40518
-0.011253900,1,40920
-0.011251725,2,40518
-0.011249575,1,40920
-0.011247425,2,40518
-0.011245250,1,40693
-0.011243100,2,40177
-0.011240925,1,40693
-0.011238775,2,40177
-0.011236600,1,40693
-0.011234450,2,40177
-0.011232300,1,40693
-0.011230125,2,40177
-0.011227975,1,40693
-0.011225800,2,40177
-0.011223650,1,41072
-0.011221475,2,40136
-0.011219325,1,41072
-0.011217175,2,40136
-0.011215000,1,41072
-0.011212850,2,40136
-0.011210675,1,41072
-0.011208525,2,40136
-0.011206375,1,41072
-0.011204200,2,40136
-0.011202050,1,41143
-0.011199875,2,40585
-0.011197725,1,41143
-0.011195550,2,40585
-0.011193400,1,41143
-0.011191250,2,40585
-0.011189075,1,41143
-0.011186925,2,40585
-0.011184750,1,40770
-0.011182600,2,40194
-0.011180450,1,40770
-0.011178275,2,40194
-0.011176125,1,40770
-0.011173950,2,40194
-0.011171800,1,40770
-0.011169625,2,40194
-0.011167475,1,40770
-0.011165325,2,40194
-0.011163150,1,40698
-0.011161000,2,39904
-0.011158825,1,40698
-0.011156675,2,39904
-0.011154500,1,40698
-0.011152350,2,39904
-0.011150200,1,40698
-0.011148025,2,39904
-0.011145875,1,40698
-0.011143700,2,39904
-0.011141550,1,40954
-0.011139400,2,39757
-0.011137225,1,40954
-0.011135075,2,39757
-0.011132900,1,40954
-0.011130750,2,39757
-0.011128575,1,40954
-0.011126425,2,39757
-0.011124275,1,40954
-0.011122100,2,39757
-0.011119950,1,40789
-0.011117775,2,39810
-0.011115625,1,40789
-0.011113450,2,39810
-0.011111300,1,40789
-0.011109150,2,39810
-0.011106975,1,40789
-0.011104825,2,39810
-0.011102650,1,40404
-0.011100500,2,40002
-0.011098350,1,40404
-0.011096175,2,40002
-0.011094025,1,40404
-0.011091850,2,40002
-0.011089700,1,40404
-0.011087525,2,40002
-0.011085375,1,40404
-0.011083225,2,40002
-0.011081050,1,40313
-0.011078900,2,39500
-0.011076725,1,40313
-0.011074575,2,39500
-0.011072400,1,40313
-0.011070250,2,39500
-0.011068100,1,40313
-0.011065925,2,39500
-0.011063775,1,40313
-0.011061600,2,39500
-0.011059450,1,40385
-0.011057300,2,39204
-0.011055125,1,40385
-0.011052975,2,39204
-0.011050800,1,40385
-0.011048650,2,39204
-0.011046475,1,40385
-0.011044325,2,39204
-0.011042175,1,40032
-0.011040000,2,39338
-0.011037850,1,40032
-0.011035675,2,39338
-0.011033525,1,40032
-0.011031375,2,39338
-0.011029200,1,40032
-0.011027050,2,39338
-0.011024875,1,40032
-0.011022725,2,39338
-0.011020550,1,40084
-0.011018400,2,39745
-0.011016250,1,40084
-0.011014075,2,39745
-0.011011925,1,40084
-0.011009750,2,39745
-0.011007600,1,40084
-0.011005425,2,39745
-0.011003275,1,40084
-0.011001125,2,39745
-0.010998950,1,40003
-0.010996800,2,39201
-0.010994625,1,40003
-0.010992475,2,39201
-0.010990325,1,40003
-0.010988150,2,39201
-0.010986000,1,40003
-0.010983825,2,39201
-0.010981675,1,40003
-0.010979500,2,39201
-0.010977350,1,39932
-0.010975200,2,39025
-0.010973025,1,39932
-0.010970875,2,39025
-0.010968700,1,39932
-0.010966550,2,39025
-0.010964375,1,39932
-0.010962225,2,39025
-0.010960075,1,39975
-0.010957900,2,39018
-0.010955750,1,39975
-0.010953575,2,39018
-0.010951425,1,39975
-0.010949275,2,39018
-0.010947100,1,39975
-0.010944950,2,39018
-0.010942775,1,39975
-0.010940625,2,39018
-0.010938450,1,39563
-0.010936300,2,38748
-0.010934150,1,39563
-0.010931975,2,38748
-0.010929825,1,39563
-0.010927650,2,38748
-0.010925500,1,39563
-0.010923350,2,38748
-0.010921175,1,39563
-0.010919025,2,38748
-0.010916850,1,39659
-0.010914700,2,38489
-0.010912525,1,39659
-0.010910375,2,38489
-0.010908225,1,39659
-0.010906050,2,38489
-0.010903900,1,39659
-0.010901725,2,38489
-0.010899575,1,39659
-0.010897400,2,38489
-0.010895250,1,39192
-0.010893100,2,38843
-0.010890925,1,39192
-0.010888775,2,38843
-0.010886600,1,39192
-0.010884450,2,38843
-0.010882300,1,39192
-0.010880125,2,38843
-0.010877975,1,39170
-0.010875800,2,38142
-0.010873650,1,39170
-0.010871475,2,38142
-0.010869325,1,39170
-0.010867175,2,38142
-0.010865000,1,39170
-0.010862850,2,38142
-0.010860675,1,39170
-0.010858525,2,38142
-0.010856350,1,39194
-0.010854200,2,38376
-0.010852050,1,39194
-0.010849875,2,38376
-0.010847725,1,39194
-0.010845550,2,38376
-0.010843400,1,39194
-0.010841250,2,38376
-0.010839075,1,39194
-0.010836925,2,38376
-0.010834750,1,38886
-0.010832600,2,37917
-0.010830425,1,38886
-0.010828275,2,37917
-0.010826125,1,38886
-0.010823950,2,37917
-0.010821800,1,38886
-0.010819625,2,37917
-0.010817475,1,38886
-0.010815300,2,37917
-0.010813150,1,38610
-0.010811000,2,37740
-0.010808825,1,38610
-0.010806675,2,37740
-0.010804500,1,38610
-0.010802350,2,37740
-0.010800200,1,38610
-0.010798025,2,37740
-0.010795875,1,38575
-0.010793700,2,37633
-0.010791550,1,38575
-0.010789375,2,37633
