Time [s],Channel,Value
-0.011923450,1,27362
-0.011921275,2,27187
-0.011919125,1,27362
-0.011916950,2,27187
-0.011914800,1,27758
-0.011912650,2,27432
-0.011910475,1,27758
-0.011908325,2,27432
-0.011906150,1,27758
-0.011904000,2,27432
-0.011901825,1,27758
-0.011899675,2,27432
-0.011897525,1,27180
-0.011895350,2,26889
-0.011893200,1,27180
-0.011891025,2,26889
-0.011888875,1,27180
-0.011886700,2,26889
-0.011884550,1,27180
-0.011882400,2,26889
-0.011880225,1,27180
-0.011878075,2,26889
-0.011875900,1,27737
-0.011873750,2,26968
-0.011871600,1,27737
-0.011869425,2,26968
-0.011867275,1,27737
-0.011865100,2,26968
-0.011862950,1,27737
-0.011860775,2,26968
-0.011858625,1,27737
-0.011856475,2,26968
-0.011854300,1,27366
-0.011852150,2,27001
-0.011849975,1,27366
-0.011847825,2,27001
-0.011845675,1,27366
-0.011843500,2,27001
-0.011841350,1,27366
-0.011839175,2,27001
-0.011837025,1,27366
-0.011834850,2,27001
-0.011832700,1,27216
-0.011830550,2,26489
-0.011828375,1,27216
-0.011826225,2,26489
-0.011824050,1,27216
-0.011821900,2,26489
-0.011819725,1,27216
-0.011817575,2,26489
-0.011815425,1,27159
-0.011813250,2,26478
-0.011811100,1,27159
-0.011808925,2,26478
-0.011806775,1,27159
-0.011804625,2,26478
-0.011802450,1,27159
-0.011800300,2,26478
-0.011798125,1,27159
-0.011795975,2,26478
-0.011793800,1,26888
-0.011791650,2,26228
-0.011789500,1,26888
-0.011787325,2,26228
-0.011785175,1,26888
-0.011783000,2,26228
-0.011780850,1,26888
-0.011778675,2,26228
-0.011776525,1,26888
-0.011774375,2,26228
-0.011772200,1,27048
-0.011770050,2,25792
-0.011767875,1,27048
-0.011765725,2,25792
-0.011763575,1,27048
-0.011761400,2,25792
-0.011759250,1,27048
-0.011757075,2,25792
-0.011754925,1,27048
-0.011752750,2,25792
-0.011750600,1,26645
-0.011748450,2,25627
-0.011746275,1,26645
-0.011744125,2,25627
-0.011741950,1,26645
-0.011739800,2,25627
-0.011737650,1,26645
-0.011735475,2,25627
-0.011733325,1,26499
-0.011731150,2,25499
-0.011729000,1,26499
-0.011726825,2,25499
-0.011724675,1,26499
-0.011722525,2,25499
-0.011720350,1,26499
-0.011718200,2,25499
-0.011716025,1,26499
-0.011713875,2,25499
-0.011711700,1,26185
-0.011709550,2,24973
-0.011707400,1,26185
-0.011705225,2,24973
-0.011703075,1,26185
-0.011700900,2,24973
-0.011698750,1,26185
-0.011696600,2,24973
-0.011694425,1,26185
-0.011692275,2,24973
-0.011690100,1,26081
-0.011687950,2,25009
-0.011685775,1,26081
-0.011683625,2,25009
-0.011681475,1,26081
-0.011679300,2,25009
-0.011677150,1,26081
-0.011674975,2,25009
-0.011672825,1,26081
-0.011670650,2,25009
-0.011668500,1,25495
-0.011666350,2,24528
-0.011664175,1,25495
-0.011662025,2,24528
-0.011659850,1,25495
-0.011657700,2,24528
-0.011655550,1,25495
-0.011653375,2,24528
-0.011651225,1,25678
-0.011649050,2,24191
-0.011646900,1,25678
-0.011644725,2,24191
-0.011642575,1,25678
-0.011640425,2,24191
-0.011638250,1,25678
-0.011636100,2,24191
-0.011633925,1,25678
-0.011631775,2,24191
-0.011629600,1,25288
-0.011627450,2,23731
-0.011625300,1,25288
-0.011623125,2,23731
-0.011620975,1,25288
-0.011618800,2,23731
-0.011616650,1,25288
-0.011614500,2,23731
-0.011612325,1,25288
-0.011610175,2,23731
-0.011608000,1,24823
-0.011605850,2,23384
-0.011603675,1,24823
-0.011601525,2,23384
-0.011599375,1,24823
-0.011597200,2,23384
-0.011595050,1,24823
-0.011592875,2,23384
-0.011590725,1,24823
-0.011588550,2,23384
-0.011586400,1,24618
