Time [s],Channel,Value
-0.049985580,2,16210188
-0.049975260,1,16202631
-0.049964940,2,16210389
-0.049954620,1,16202478
-0.049944300,2,16210415
-0.049933980,1,16203332
-0.049923660,2,16211160
-0.049913340,1,16203260
-0.049903000,2,16210827
-0.049892680,1,16203721
-0.049882360,2,16211663
-0.049872040,1,16204406
-0.049861720,2,16211772
-0.049851400,1,16204248
-0.049841080,2,16211350
-0.049830760,1,16204542
-0.049820420,2,16212601
-0.049810100,1,16204419
-0.049799780,2,16212352
-0.049789460,1,16205080
-0.049779140,2,16212372
-0.049768820,1,16205339
-0.049758500,2,16213420
-0.049748180,1,16205763
-0.049737860,2,16213040
-0.049727520,1,16206391
-0.049717200,2,16213360
-0.049706880,1,16206168
-0.049696560,2,16213829
-0.049686240,1,16206190
-0.049675920,2,16214252
-0.049665600,1,16206728
-0.049655280,2,16214606
-0.049644940,1,16206992
-0.049634620,2,16214757
-0.049624300,1,16207430
-0.049613980,2,16214676
-0.049603660,1,16207602
-0.049593340,2,16214993
-0.049583020,1,16207856
-0.049572700,2,16215432
-0.049562360,1,16208178
-0.049552040,2,16215883
-0.049541720,1,16208399
-0.049531400,2,16216085
-0.049521080,1,16209228
-0.049510760,2,16216367
-0.049500440,1,16208949
-0.049490120,2,16216546
-0.049479780,1,16208919
-0.049469460,2,16216780
-0.049459140,1,16209213
-0.049448820,2,16216769
-0.049438500,1,16209524
-0.049428180,2,16217076
-0.049417860,1,16209927
-0.049407540,2,16218104
-0.049397220,1,16210245
-0.049386880,2,16218077
-0.049376560,1,16210715
-0.049366240,2,16218316
-0.049355920,1,16210668
-0.049345600,2,16218331
-0.049335280,1,16211440
-0.049324960,2,16218849
-0.049314640,1,16211788
-0.049304300,2,16218800
-0.049293980,1,16211518
-0.049283660,2,16219162
-0.049273340,1,16211856
-0.049263020,2,16219522
-0.049252700,1,16212819
-0.049242380,2,16220071
-0.049232060,1,16212658
-0.049221720,2,16220038
-0.049211400,1,16212770
-0.049201080,2,16220540
-0.049190760,1,16212768
-0.049180440,2,16220821
-0.049170120,1,16213241
-0.049159800,2,16221003
-0.049149480,1,16214230
-0.049139140,2,16221467
-0.049128820,1,16214124
-0.049118500,2,16221664
-0.049108180,1,16214581
-0.049097860,2,16221825
-0.049087540,1,16214454
-0.049077220,2,16222390
-0.049066900,1,16215019
-0.049056580,2,16222779
-0.049046240,1,16215200
-0.049035920,2,16222878
-0.049025600,1,16215081
-0.049015280,2,16223132
-0.049004960,1,16215904
-0.048994640,2,16223767
-0.048984320,1,16215876
-0.048974000,2,16223811
-0.048963660,1,16216829
-0.048953340,2,16224340
-0.048943020,1,16216413
-0.048932700,2,16224407
-0.048922380,1,16217047
-0.048912060,2,16224844
-0.048901740,1,16217377
-0.048891420,2,16225230
-0.048881080,1,16217805
-0.048870760,2,16225069
-0.048860440,1,16217829
-0.048850120,2,16225731
-0.048839800,1,16217822
-0.048829480,2,16226033
-0.048819160,1,16218865
-0.048808840,2,16226184
-0.048798500,1,16218831
-0.048788180,2,16226973
-0.048777860,1,16219155
-0.048767540,2,16226925
-0.048757220,1,16219646
-0.048746900,2,16227079
-0.048736580,1,16219675
-0.048726260,2,16227518
-0.048715940,1,16220232
-0.048705600,2,16227996
-0.048695280,1,16220551
-0.048684960,2,16227713
-0.048674640,1,16221082
-0.048664320,2,16228728
-0.048654000,1,16221523
-0.048643680,2,16228779
-0.048633360,1,16221092
-0.048623020,2,16228816
-0.048612700,1,16221723
-0.048602380,2,16229589
-0.048592060,1,16222338
-0.048581740,2,16230000
-0.048571420,1,16222318
-0.048561100,2,16230339
-0.048550780,1,16222657
-0.048540440,2,16230425
-0.048530120,1,16223613
-0.048519800,2,16231119
-0.048509480,1,16223994
-0.048499160,2,16231118
-0.048488840,1,16224260
-0.048478520,2,16231901
-0.048468200,1,16224446
-0.048457880,2,16232275
-0.048447540,1,16225193
-0.048437220,2,16232713
-0.048426900,1,16225225
-0.048416580,2,16232874
-0.048406260,1,16225616
-0.048395940,2,16233380
-0.048385620,1,16225721
-0.048375300,2,16233583
-0.048364960,1,16226265
-0.048354640,2,16233439
-0.048344320,1,16226671
-0.048334000,2,16233936
-0.048323680,1,16226992
-0.048313360,2,16235068
-0.048303040,1,16227035
-0.048292720,2,16234891
-0.048282380,1,16227956
-0.048272060,2,16235397
-0.048261740,1,16228088
-0.048251420,2,16235808
-0.048241100,1,16228484
-0.048230780,2,16235932
-0.048220460,1,16229088
-0.048210140,2,16236456
-0.048199800,1,16229107
-0.048189480,2,16236314
-0.048179160,1,16230056
-0.048168840,2,16237271
-0.048158520,1,16230082
-0.048148200,2,16237556
-0.048137880,1,16230031
-0.048127560,2,16238123
-0.048117220,1,16230814
-0.048106900,2,16238449
-0.048096580,1,16230956
-0.048086260,2,16238751
-0.048075940,1,16231988
-0.048065620,2,16239087
-0.048055300,1,16231598
-0.048044980,2,16239173
-0.048034660,1,16232525
-0.048024320,2,16239385
-0.048014000,1,16232430
-0.048003680,2,16239601
-0.047993360,1,16232957
-0.047983040,2,16240905
-0.047972720,1,16233529
-0.047962400,2,16240665
-0.047952080,1,16233778
-0.047941740,2,16241687
-0.047931420,1,16234063
-0.047921100,2,16241730
-0.047910780,1,16234330
-0.047900460,2,16241990
-0.047890140,1,16234805
-0.047879820,2,16242144
-0.047869500,1,16235645
-0.047859160,2,16242391
-0.047848840,1,16235723
-0.047838520,2,16243229
-0.047828200,1,16236046
-0.047817880,2,16243359
-0.047807560,1,16236856
-0.047797240,2,16243996
-0.047786920,1,16236659
-0.047776580,2,16244205
-0.047766260,1,16237162
-0.047755940,2,16244812
-0.047745620,1,16237762
-0.047735300,2,16244534
-0.047724980,1,16238371
-0.047714660,2,16245775
-0.047704340,1,16237968
-0.047694020,2,16245784
-0.047683680,1,16238700
-0.047673360,2,16246082
-0.047663040,1,16239079
-0.047652720,2,16246427
-0.047642400,1,16239916
-0.047632080,2,16247072
-0.047621760,1,16240257
-0.047611440,2,16247625
-0.047601100,1,16240630
-0.047590780,2,16247586
-0.047580460,1,16240948
-0.047570140,2,16248067
-0.047559820,1,16241488
-0.047549500,2,16248396
-0.047539180,1,16242152
-0.047528860,2,16248774
-0.047518520,1,16242090
-0.047508200,2,16249674
-0.047497880,1,16242362
-0.047487560,2,16249909
-0.047477240,1,16243135
-0.047466920,2,16250383
-0.047456600,1,16242727
-0.047446280,2,16251057
-0.047435940,1,16243324
-0.047425620,2,16251584
-0.047415300,1,16243915
-0.047404980,2,16251804
-0.047394660,1,16244594
-0.047384340,2,16251782
-0.047374020,1,16245328
-0.047363700,2,16252540
-0.047353380,1,16245791
-0.047343040,2,16253194
-0.047332720,1,16246252
-0.047322400,2,16253666
-0.047312080,1,16246709
-0.047301760,2,16253879
-0.047291440,1,16247301
